job-id,job-title,job-listing-date,job-url,job-location-state,job-location-city,job-location-area,job-location-suburb,job-advertiser,job-advertiser-email,job-advertiser-phone,job-classification,job-sub-classification,job-citizenship-required
51547552,Senior Data Scientist,2021-02-16 04:58:43,https://www.seek.com.au/job/51547552,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Bupa,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51538264,Machine Learning Developer / Data Engineer,2021-02-15 07:15:42,https://www.seek.com.au/job/51538264,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talent Insights Group,Yes,,Information & Communication Technology,Engineering - Software,
51525279,Senior Data Scientist,2021-02-12 07:45:08,https://www.seek.com.au/job/51525279,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Verse Group,Yes,Yes,Information & Communication Technology,Developers/Programmers,
51483589,Senior Data Scientist,2021-02-08 21:30:57,https://www.seek.com.au/job/51483589,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Amplify Partners,,,Information & Communication Technology,Engineering - Software,
51477058,Senior Data Scientist,2021-02-08 01:49:46,https://www.seek.com.au/job/51477058,New South Wales,Sydney,,,Annalect,Yes,,Information & Communication Technology,Developers/Programmers,
51459881,Senior Data Scientist,2021-02-04 10:41:16,https://www.seek.com.au/job/51459881,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Data Mettle,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51414206,Senior Data Scientist,2021-01-29 07:00:40,https://www.seek.com.au/job/51414206,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Talent Insights Group,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51409689,Senior Data Scientist,2021-01-29 02:48:55,https://www.seek.com.au/job/51409689,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Bupa,,,Information & Communication Technology,Other,
51360212,Senior Data Scientist,2021-01-21 06:51:04,https://www.seek.com.au/job/51360212,Queensland,Brisbane,CBD & Inner Suburbs,southbrisbane,KBR,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51342182,APS6 Senior Data Scientist,2021-01-19 22:54:03,https://www.seek.com.au/job/51342182,Australian Capital Territory,ACT,,canberra,SOS Recruitment,Yes,Yes,Government & Defence,Government - Federal,Yes
51548610,Data Scientist,2021-02-16 06:00:05,https://www.seek.com.au/job/51548610,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Finite IT Recruitment,,Yes,Information & Communication Technology,Other,
51548385,Data Scientist,2021-02-16 05:45:31,https://www.seek.com.au/job/51548385,Queensland,Brisbane,,,Exclaim IT,Yes,,Information & Communication Technology,Database Development & Administration,
51543896,Data Scientist,2021-02-16 01:45:30,https://www.seek.com.au/job/51543896,Queensland,Brisbane,,,PRA,Yes,,Information & Communication Technology,Engineering - Software,
51541984,Data Scientist,2021-02-16 00:01:30,https://www.seek.com.au/job/51541984,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Temple & Webster Group,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51537416,Data Scientist - Actuarial,2021-02-15 06:13:30,https://www.seek.com.au/job/51537416,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Deloitte,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51537007,Data Scientist - Actuarial,2021-02-15 05:47:44,https://www.seek.com.au/job/51537007,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Deloitte,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51536469,Quantitative Developer | Financial Services,2021-02-15 05:15:48,https://www.seek.com.au/job/51536469,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Northbridge Recruitment,,,Information & Communication Technology,Developers/Programmers,
51527742,Data Scientist/Python Developer,2021-02-14 04:07:20,https://www.seek.com.au/job/51527742,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,9epoch,,,Information & Communication Technology,Developers/Programmers,
51515129,PI Engineer / Expression of Interest,2021-02-11 11:47:49,https://www.seek.com.au/job/51515129,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Private Advertiser,,,Engineering,Building Services Engineering,
